Stralsund ,38940.0,1
Opwijk,91546.76,1
Spain,2.77862368E8,528
Turkey,3.9172872E7,43
Lebanon,377600.0,1
Finland,5661581.0,22
Germany,1.60189472E8,1221
Angera ,18762.0,1
Neustadt in Holstein (Ostsee),1119820.0,1
Travem√?nde ,106082.0,1
Marina Punat,135700.0,1
Netherlands,2.27239264E8,482
Thailand,2377700.0,2
Portugal,3.7803212E7,116
Rolle,31860.0,1
Greece,7.8311376E7,66
Bielefeld,31742.0,1
Beilngries ,80948.0,1
Lago Maggiore,34810.0,1
PT √?stkysten ellers Esbjerg ,450000.0,1
Bulgaria,3068000.0,2
Donau,174168.0,4
Seychelles,447220.0,1
United Kingdom,8.048068E7,140
Greetsile/ Krummh√∂rn,277300.0,1
Switzerland,1.0303952E8,899
Avenches,62640.0,1
Italien ,164020.0,1
Heilbronn,58882.0,1
baden baden,33630.0,1
Thalwil,13500.0,1
Zevenbergen,70210.0,1
Estonia,1062508.6,4
Lago di Garda ,94400.0,1
Australia,1.0189995E7,2
R√?gen,58941.0,1
United States,3985922.0,4
Welschenrohr,7020.0,1
Porto Rotondo,30680.0,1
Morocco,442500.0,1
Thun,7020.0,1
Lake Constance,566346.0,9
Izola,116820.0,1
Latvia,1616600.0,2
Sweden,6375802.0,13
Lommel,41300.0,1
Poland,4127065.2,23
Croatia,115522.0,1
Romania,69030.0,1
Rheinfelden,8732.0,1
"Lago Maggiore,17280.0,1
Rovinij,19942.0,1
Hungary,318246.0,4
French Southern Territories,153400.0,1
Steinwiesen,23010.0,1
Lake Geneva,190512.0,6
Mallorca ,330400.0,1
Czech Republic,605340.0,3
espa?a ,48380.0,1
Italy,3.46968608E8,1005
Denmark,1.26196216E8,62
Oder,76700.0,1
Jersey,825000.0,1
Ibiza,47200.0,1
Egypt,649000.0,1
"Tenero,21600.0,1
Gibraltar,418900.0,1
Faoug,77760.0,1
Kroatien Krk,47200.0,1
Malta,2.42454E7,31
Novi Vinodolski ,115640.0,1
Slovak Republic,293749.2,9
24782 B√?delsdorf ,78942.0,1
Ireland,766999.0,1
Juelsminde Havn ,79999.0,1
"Z√?richse,54000.0,1
bodensee,74104.0,1
France,2.89040256E8,969
Russian Federation,5900000.0,4
Serbia,14160.0,1
Montenegro,1.3991542E7,16
Adria,607688.2,1
Isle of Man,62495.0,1
Vierwaldst√?ttersee - Buochs,21492.0,1
Nordseek√?ste,81420.0,1
Belgium,6246570.5,40
Taiwan,5015000.0,1
Calanova Mallorca ,64900.0,1
Ostsee,375181.0,2
Brandenburg ,165200.0,1
Brandenburg an derHavel,58764.0,1
Cyprus,1116280.0,5
Katwijk ,41300.0,1
Dalmatien,105020.0,1
"Belgi√´,56640.0,1
Austria,1.4079306E7,71
Monaco,2.484254E7,8
Bremen,33630.0,1
Martinique,784110.0,2
Slovenia,1.1265731E7,32
Fu√üach,19470.0,1
Lithuania,236000.0,1
Croatia (Hrvatska),2.68909408E8,671
annecy,118000.0,1
